image_id,ssim,psnr
test_patch_0000,0.8169077488880794,30.666255666105435
test_patch_0001,0.8304503744835068,28.90427426764491
test_patch_0002,0.7832395075702592,30.898227016124878
test_patch_0003,0.844488965013783,32.374901306728354
test_patch_0004,0.7844754913178069,29.75567704258033
test_patch_0005,0.9286733892805408,34.781079901241064
test_patch_0006,0.9361275044510681,33.72469894394473
test_patch_0007,0.8615276266292476,28.109662194781645
test_patch_0008,0.8548675664603141,26.71271051212163
test_patch_0009,0.7867446909874373,34.87183230103336
test_patch_0010,0.8840798015017258,33.224616215659324
test_patch_0011,0.8837677168221619,27.123319298238226
test_patch_0012,0.8857649304700617,26.90398170540161
test_patch_0013,0.8557255608037325,25.50715551767876
test_patch_0014,0.7687406481654071,33.290999625673145
test_patch_0015,0.9273169854822743,34.65443425149412
test_patch_0016,0.7626760021581585,34.647650823155324
test_patch_0017,0.8043856482569823,30.199041452350833
test_patch_0018,0.8318854824227636,31.151557611264312
test_patch_0019,0.8194496481433039,26.37939449385978
test_patch_0020,0.8010131921533689,27.250534214939023
test_patch_0021,0.8666192725443068,32.37428581114029
test_patch_0022,0.8788890461255014,30.210446878550858
test_patch_0023,0.9057225538837745,32.0717084986884
test_patch_0024,0.8721161858354023,27.271900692784186
test_patch_0025,0.756233767326945,33.62909052126153
test_patch_0026,0.9280559542927379,27.783602825371897
test_patch_0027,0.8134312175453233,28.495812015453946
test_patch_0028,0.9089936193662288,30.56453376630224
test_patch_0029,0.8678081981361628,27.008656319660865
test_patch_0030,0.8657178445185527,28.565436482406064
test_patch_0031,0.8861589003498489,33.9495379656408
test_patch_0032,0.8581822181125587,33.06643670676077
test_patch_0033,0.8220902096217838,32.650508428228164
test_patch_0034,0.7786200272603215,26.127645798554738
test_patch_0035,0.9000661476609382,32.033786853757405
test_patch_0036,0.9181083316567978,33.657711941479675
test_patch_0037,0.8378483003015638,32.168808574960615
test_patch_0038,0.9492390815698122,28.73429546597007
test_patch_0039,0.8185255814295718,26.56006305352603
test_patch_0040,0.789379141480421,28.371390550439955
test_patch_0041,0.7895502490900592,27.01361185453883
test_patch_0042,0.8980259425588928,27.48930259244887
test_patch_0043,0.89018257583956,25.770717144409584
test_patch_0044,0.9235737288544832,26.570733595069125
test_patch_0045,0.8754683619326825,29.70001718527682
test_patch_0046,0.8241759755533475,33.44056646009289
test_patch_0047,0.8821157732829897,25.117827834588613
test_patch_0048,0.8976711633595018,26.24256532187852
test_patch_0049,0.7616676798393784,26.26748097429952
